,Videocard Name,Price (USD)
0,256MB DDR Radeon 9800 XT,
1,7900 MOD - Radeon HD 6520G,
2,7900 MOD - Radeon HD 6550D,
3,A10-8Q,
4,A6 Micro-6500T Quad-Core APU with RadeonR4,
5,ABIT Siluro T400,
6,ALL-IN-WONDER 9000,
7,ALL-IN-WONDER 9800,
8,ALL-IN-WONDER RADEON 8500DV,
9,All-in-Wonder X1800XL,
10,All-in-Wonder X1900,
11,ALL-IN-WONDER X800 GT,
12,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,
13,ASUS A7000,
14,ASUS AGP-V3800PRO v31.40H,
15,ASUS EAH4870x2,
16,Asus GTX 650 FML II EC-EGPU,
17,ASUS V9520-X V62.11,
18,B8DKMDAP,
19,Barco MXRT 1450,
20,Barco MXRT 2600,$199.00*
21,Barco MXRT 5400,$203.00*
22,Barco MXRT 5450,$199.99*
23,Barco MXRT 5500,$299.00*
24,Barco MXRT 5600,$704.00*
25,Barco MXRT 7100,
26,Barco MXRT 7400,$99.00*
27,Barco MXRT 7500,$299.00*
28,Barco MXRT 7600,$602.59*
29,BASICDISPLAY,
30,Citrix Indirect Display Adapter,
31,CONNECT 3D RADEON X300,
32,Custom GPU 0405,
33,Dell 8100,$999.11*
34,Dell 8200,
35,Diamond X1300-PCIE 256MB,
36,EAH5450,$109.99*
37,EIZO Quadro MED-XN51LP,
38,Embedded Radeon E9173,
39,Eng Sample: 100-000000261-50_Y,
40,Extreme AX850 PRO,
41,FireGL T2-128,
42,FireGL V3100,
43,FireGL V3200,
44,FireGL V3300,
45,FireGL V3350,
46,FireGL V3400,
47,FireGL V3600,$160.99*
48,FireGL V5100,$114.96*
49,FireGL V5200,$133.40*
50,FireGL V5600,$225.00*
51,FireGL V7100,$328.67*
52,FireGL V7200,
53,FireGL V7300,"$1,189.99*"
54,FireGL V7350,$119.42*
55,FireGL V7600,
56,FireGL V7700,$69.99*
57,FireGL V8600,
58,FireGL V8650,$298.99*
59,FireGL X1,
60,FireMV 2200 PCI,
61,FireMV 2200 PCIe,$89.99*
62,FireMV 2250,$104.00*
63,FireMV 2260,$88.08*
64,FireMV 2400 PCIe,
65,FireMV 2450,
66,FirePro 2260,
67,FirePro 2270,$134.00*
68,FirePro 2450,$89.99*
69,FirePro 2460,$83.99*
70,FirePro 3D V3700,$84.99*
71,FirePro 3D V3750,$50.88*
72,FirePro 3D V3800,$149.99*
73,FirePro 3D V4800,$159.99*
74,FirePro 3D V5700,$319.99*
75,FirePro 3D V5800,$204.00*
76,FirePro 3D V7750,$350.00*
77,FirePro 3D V7800,$599.99*
78,FirePro 3D V8700,$170.07*
79,FirePro 3D V8750,"$1,230.99*"
80,FirePro 3D V8800,$424.99*
81,FirePro 3D V9800,"$2,499.00*"
82,FirePro M2000,
83,FirePro M4000,$72.83*
84,FirePro M4000 Mobility Pro,
85,FirePro M40003,
86,Firepro M4100,
87,FirePro M4150,
88,FirePro M4170,
89,FirePro M5100,
90,FirePro M5100 FireGL V,
91,FirePro M5950,
92,FirePro M6000,$325.99*
93,FirePro M6000 Mobility Pro,
94,FirePro M6100,
95,FirePro M6100 FireGL V,
96,FirePro M7740,
97,FirePro R5000,$109.99*
98,FirePro RG220,$650.18*
99,FirePro S10000,
100,FirePro S7000,$246.54*
101,FirePro S7150,"$1,697.99*"
102,FirePro S9000,
103,FirePro S9050,
104,FirePro V3800,$124.99*
105,FirePro V3900,$238.44*
106,FirePro V4900,$149.99*
107,FirePro V5700,$188.06*
108,FirePro V5800,$53.00*
109,FirePro V5900,$86.00*
110,FirePro V7000,
111,FirePro V7800,$190.00*
112,FirePro V7900,$190.00*
113,FirePro V8700,$157.88*
114,FirePro V8800,$198.00*
115,FirePro V9800,$474.00*
116,FirePro W2100,$59.00*
117,FirePro W4100,$184.00*
118,FirePro W4170M,
119,Firepro W4190M,
120,FirePro W4300,$239.99*
121,FirePro W5000,$184.00*
122,FirePro W5100,$125.99*
123,FirePro W5130M,
124,Firepro W5170M,
125,FirePro W600,$414.99*
126,FirePro W6150M,
127,FirePro W7000,$278.05*
128,FirePro W7000 Adapter,
129,FirePro W7100,$389.30*
130,FirePro W7170M,
131,FirePro W8000,$573.00*
132,FirePro W8100,$704.00*
133,FirePro W9000,$845.00*
134,FirePro W9100,"$1,729.99*"
135,FireStream 9170,
136,FireStream 9250,
137,FireStream 9270,
138,FireStream 9370,
139,GeCube RADEON 7000,
140,GeForce 205,
141,GeForce 210,$54.15*
142,GeForce 240M GT,
143,GeForce 256,$42.04*
144,GeForce 305M,
145,GeForce 310,$108.35*
146,GeForce 310M,
147,GeForce 315,$32.99*
148,GeForce 315M,
149,GeForce 320M,
150,GeForce 405,$24.64*
151,GeForce 410M,
152,GeForce 505,$115.06*
153,GeForce 510,$69.99*
154,GeForce 605,$136.83*
155,GeForce 6100,
156,GeForce 6100 nForce 400,
157,GeForce 6100 nForce 405,
158,GeForce 6100 nForce 420,
159,GeForce 6100 nForce 430,
160,GeForce 610M,
161,GeForce 615,
162,GeForce 6150,$329.00*
163,GeForce 6150 LE,
164,GeForce 6150SE,
165,GeForce 6150SE nForce 430,
166,GeForce 6200,$99.99*
167,GeForce 6200 A-LE,
168,GeForce 6200 LE,$41.24*
169,GeForce 6200 TurboCache,
170,GeForce 6200A,$54.99*
171,GeForce 6200SE TurboCache,
172,GeForce 6500,
173,GeForce 6600,$264.00*
174,GeForce 6600 GT,$64.95*
175,GeForce 6600 LE,
176,GeForce 6610 XL,
177,GeForce 6700 XL,
178,GeForce 6800,$559.29*
179,GeForce 6800 GS,
180,GeForce 6800 GS/XT,
181,GeForce 6800 GT,
182,GeForce 6800 LE,
183,GeForce 6800 Ultra,
184,GeForce 6800 XE,
185,GeForce 6800 XT,
186,GeForce 7000M,
187,GeForce 7000M / nForce 610M,
188,GeForce 7025 / nForce 630a,
189,GeForce 7050 / nForce 610i,
190,GeForce 7050 / nForce 620i,
191,GeForce 7050 / nForce 630i,
192,GeForce 7050 PV / nForce 630a,
193,GeForce 705M,
194,GeForce 7100 / nForce 620i,
195,GeForce 7100 / nForce 630i,
196,GeForce 7100 GS,
197,GeForce 710A,
198,GeForce 710M,
199,GeForce 7150 / nForce 630i,
200,GeForce 7150M / nForce 630M,
201,GeForce 7200 GS,
202,GeForce 720A,
203,GeForce 7300 GS,
204,GeForce 7300 GT,$149.99*
205,GeForce 7300 LE,$32.00*
206,GeForce 7300 SE,
207,GeForce 7300 SE/7200 GS,
208,GeForce 730A,
209,GeForce 7350 LE,
210,GeForce 7500 LE,
211,GeForce 7600 GS,$175.00*
212,GeForce 7600 GT,$199.00*
213,GeForce 7650 GS,
214,GeForce 770M,$176.99*
215,GeForce 7800 GS,
216,GeForce 7800 GT,$80.00*
217,GeForce 7800 GTX,$71.60*
218,GeForce 7900 GS,
219,GeForce 7900 GT,$199.00*
220,GeForce 7900 GT/GTO,
221,GeForce 7900 GTX,
222,GeForce 7950 GT,$203.99*
223,GeForce 7950 GX2,$54.99*
224,GeForce 7950 Xtreme,
225,GeForce 800A,
226,GeForce 800M,
227,GeForce 8100 / nForce 720a,
228,GeForce 810A,
229,GeForce 810M,
230,GeForce 8200,
231,GeForce 8200M G,
232,GeForce 820A,
233,GeForce 820M,
234,GeForce 825M,
235,GeForce 8300,$22.68*
236,GeForce 8300 GS,
237,GeForce 830A,
238,GeForce 830M,
239,GeForce 8400,$589.99*
240,GeForce 8400 GS,$85.97*
241,GeForce 8400 SE,
242,GeForce 8400M G,
243,GeForce 8400M GS,$78.20*
244,GeForce 8400M GT,
245,GeForce 840A,
246,GeForce 840M,
247,GeForce 845M,
248,GeForce 8500 GT,
249,GeForce 8600 GS,
250,GeForce 8600 GT,$196.00*
251,GeForce 8600 GTS,$241.99*
252,GeForce 8600M GS,
253,GeForce 8600M GT,$108.10*
254,GeForce 8700M GT,
255,GeForce 8800 GS,
256,GeForce 8800 GT,$69.99*
257,GeForce 8800 GTS,$79.99*
258,GeForce 8800 GTS 512,
259,GeForce 8800 GTX,$119.99*
260,GeForce 8800 Ultra,
261,GeForce 8800M GTS,
262,GeForce 8800M GTX,
263,GeForce 9100,
264,GeForce 9100M G,
265,GeForce 910M,
266,GeForce 9200,
267,GeForce 9200M GE,
268,GeForce 9200M GS,
269,GeForce 920A,
270,GeForce 920M,
271,GeForce 920MX,
272,GeForce 9300,$59.00*
273,GeForce 9300 / nForce 730i,
274,GeForce 9300 GE,$22.99*
275,GeForce 9300 GS,$59.95*
276,GeForce 9300 SE,
277,GeForce 9300GE,$97.20*
278,GeForce 9300M G,
279,GeForce 9300M GS,$43.42*
280,GeForce 930A,
281,GeForce 930M,
282,GeForce 930MX,
283,GeForce 9400,
284,GeForce 9400 GT,$159.99*
285,GeForce 9400M,
286,GeForce 9400M G,
287,GeForce 940A,
288,GeForce 940M,
289,GeForce 940MX,
290,GeForce 9450,
291,GeForce 945A,
292,GeForce 945M,
293,GeForce 9500 GS,
294,GeForce 9500 GT,$85.99*
295,GeForce 9500M,$101.20*
296,GeForce 9500M G,
297,GeForce 9500M GS,
298,GeForce 9600 GS,
299,GeForce 9600 GSO,$49.99*
300,GeForce 9600 GSO 512,
301,GeForce 9600 GT,$64.99*
302,GeForce 9600M GS,
303,GeForce 9600M GT,$78.20*
304,GeForce 9600M GT / GeForce GT 220M,
305,GeForce 9650M GS,
306,GeForce 9650M GT,$117.30*
307,GeForce 9700M GT,
308,GeForce 9700M GTS,
309,GeForce 9800 GT,$74.99*
310,GeForce 9800 GT 1024MB,
311,GeForce 9800 GTX,$74.99*
312,GeForce 9800 GTX+,
313,GeForce 9800 GTX/9800 GTX+,$89.99*
314,GeForce 9800 GX2,$195.00*
315,GeForce 9800 S,
316,GeForce 9800M GS,
317,GeForce 9800M GT,
318,GeForce 9800M GTS,
319,GeForce 9800M GTX,$328.50*
320,GeForce 999 GTX,
321,GeForce FX 5100,
322,GeForce FX 5200,$129.00*
323,GeForce FX 5200 Ultra,
324,GeForce FX 5200LE,$42.99*
325,GeForce FX 5200SE,
326,GeForce FX 5500,$153.97*
327,GeForce FX 5600,
328,GeForce FX 5600 Ultra,
329,GeForce FX 5600XT,
330,GeForce FX 5700,
331,GeForce FX 5700 Ultra,
332,GeForce FX 5700LE,
333,GeForce FX 5700VE,
334,GeForce FX 5900,
335,GeForce FX 5900 Ultra,
336,GeForce FX 5900XT,
337,GeForce FX 5900ZT,
338,GeForce FX 5950 Ultra,
