Videocard Name,Price (USD)
GeForce RTX 3090 Ti,2099.99
GeForce RTX 3080 Ti,1199.99
GeForce RTX 3090,1749.99
Radeon RX 6900 XT,1120.31
GeForce RTX 3080,999
GeForce RTX 3070 Ti,749.99
Radeon RX 6800 XT,859
RTX A5000,2631.2
RTX A6000,4999.99
GeForce RTX 3070,719.99
GeForce RTX 2080 Ti,998.59
RTX A4500,2134.64
Radeon RX 6800,758.99
GeForce RTX 3060 Ti,599.99
TITAN RTX,2794.99
Quadro RTX 6000,6300
GeForce RTX 2080 SUPER,683.99
TITAN Xp,
GeForce RTX 3080 Ti Laptop GPU,
Quadro RTX 8000,4741.49
Radeon RX 6700 XT,529.99
RTX A4000,1233.98
TITAN V,1999.99
Radeon PRO W6800,2194.99
GeForce RTX 2080,633.03
TITAN Xp COLLECTORS EDITION,
GeForce RTX 3070 Ti Laptop GPU,
GeForce GTX 1080 Ti,604.15
NVIDIA TITAN Xp,1645
GeForce RTX 2070 SUPER,613.8
Quadro GV100,8999
TITAN V CEO Edition,
GeForce RTX 3060,329
Radeon RX 5700 XT,694.94
Radeon Pro VII,
Radeon VII,1899.95
Radeon RX 5700 XT 50th Anniversary,
GeForce RTX 3080 Laptop GPU,
GeForce RTX 2060 SUPER,528.89
RTX A4000 Laptop GPU,
RTX A5000 Laptop GPU,
Quadro RTX 5000,
Tesla V100-SXM2-16GB,
Quadro GP100,
GeForce RTX 2070,627.44
Miracast display port driver V3,
RadeonT RX 6850M,
Radeon RX 6600 XT,399.99
Quadro P6000,3250
Quadro RTX 4000,899
GeForce GTX 1080,442.79
GeForce RTX 3070 Laptop GPU,
GeForce RTX 2080 (Mobile),
Radeon Pro W5700,1649.99
Quadro RTX 5000 (Mobile),
Radeon Pro Vega II,
Radeon RX 5700,899.95
Radeon RX Vega 64,799.99
Radeon Pro Vega 64X,
GeForce GTX 1070 Ti,389
GeForce RTX 2070 Super with Max-Q Design,
Radeon PRO W6600,
Radeon Pro WX 8200,1599.39
GeForce RTX 2080 Super with Max-Q Design,
GeForce RTX 2060,389.99
Quadro RTX 5000 with Max-Q Design,
Radeon RX 6600,
GeForce GTX 980 Ti,719.4
Radeon RX 5600 XT,545
Radeon Vega Frontier Edition,1679.99
RTX A2000 12GB,
GeForce RTX 2080 with Max-Q Design,2099.99
NVIDIA TITAN X,608.1
Radeon RX Vega 56,752.99
Quadro RTX 4000 with Max-Q Design,
GeForce GTX 1070,342.55
Tesla T10,
RTX A3000 Laptop GPU,
Radeon Pro WX 9100,
GeForce GTX TITAN X,1096.99
RTX A2000,845.99
Quadro RTX 4000 (Mobile),
Radeon Pro V520 MxGPU,
GeForce GTX 1660 SUPER,329.99
GeForce RTX 3050,
GeForce RTX 3060 Laptop GPU,479.99
Radeon Pro 5700 XT,
Radeon Pro Vega 64,
Radeon Pro Vega 56,
GeForce RTX 2070 (Mobile),
Quadro P5200 with Max-Q Design,
Quadro M6000 24GB,
Quadro P5200,
GeForce RTX 2070 with Max-Q Design,
Radeon RX 6700S,
Quadro P5000,1868.99
Quadro P4200 with Max-Q Design,
Radeon Pro 5700,
GeForce GTX 1660 Ti,349.99
GeForce GTX 1660,399.99
Tesla M40 24GB,
GeForce GTX 1080 with Max-Q Design,
Radeon Pro Vega 48,
Radeon RX 6700M,
Quadro P4000,556.19
Quadro M6000,1099.98
GeForce RTX 2060 (Mobile),
GeForce GTX 980,247.35
Quadro RTX 3000,
Tesla T4,4853.98
Radeon RX 5600,
Radeon Pro SSG,2410.15
Radeon Instinct MI25 MxGPU,
GeForce GTX 1070 (Mobile),
Radeon Pro 5600M,
GeForce GTX 1660 Ti (Mobile),
RTX A2000 Laptop GPU,
Tesla M40,600
Radeon R9 Fury X,
GeForce GTX 1060,279.99
GeForce GTX 1650 SUPER,441.05
GeForce GTX 1070 with Max-Q Design,
RTX A3000 12GB Laptop GPU,
Quadro P4200,
GeForce RTX 2060 with Max-Q Design,
Radeon R9 Fury + Fury X,449.99
GeForce GTX 1060 3GB,305
GeForce GTX 970,237.99
Radeon RX 590,549.99
Radeon R9 Fury,443.1
Radeon R9 390X,
Quadro P2200,577.17
Radeon Ryzen 9 4900HSS,
GeForce RTX 3050 Ti Laptop GPU,
Radeon RX 6500 XT,199.99
GeForce GTX 780 Ti,339.99
Radeon Pro W5500,480.99
Quadro M5000,499
Quadro P3200 with Max-Q Design,
GeForce GTX TITAN Z,1515
Radeon RX 5500 XT,449
GeForce GTX TITAN Black,524.99
Radeon RX 6600M,339.99
Quadro P4000 with Max-Q Design,
GeForce RTX 3050 Laptop GPU,379.99
Radeon RX 6800M,
Radeon R9 390,
Radeon RX 580,349
Radeon Ryzen 7 4800HS,
Radeon RX 5500,
Radeon R9 290X,
Quadro RTX 3000 with Max-Q Design,
GeForce GTX 1060 5GB,487.99
Radeon RX 480,339.99
Quadro P3200,389.3
GeForce GTX 1660 Ti with Max-Q Design,
Radeon RX590 GME,
Radeon R9 295X2,499.1
Radeon Ryzen 9 4900HS,
GeForce GTX Titan,745
Radeon Ryzen 9 5900HS,
Radeon R9 290,
Radeon R9 290X / 390X,319.99
Radeon Pro Duo,1199.06
Radeon Pro 5500 XT,
15FF,
GeForce GTX 1060 (Mobile),
Radeon R9 290 / 390,380
Quadro K6000,392
Radeon RX 470/570,388.99
GeForce GTX 780,279.99
GeForce RTX 2050,
Radeon Ryzen 5 4600HS,
Quadro M5500,
GeForce GTX 1060 with Max-Q Design,
T1200 Laptop GPU,
T1000,375.72
Radeon Pro WX 7100,1047.99
GeForce GTX 1650,209
Radeon RX 580X,
Tesla M60,787.9
Radeon RX 580 2048SP,
T1000 8GB,
Radeon Pro 580,
FirePro W9100,1729.99
Radeon RX 5300,
Radeon Pro 580X,
Radeon Pro 5300,
Tesla M6,199
GeForce GTX 1650 Ti,
Ryzen 7 5800HS with Radeon Graphics,
FirePro W8100,704
RadeonT RX 5300,
GeForce GTX 980M,289.99
Tesla P100-PCIE-16GB,
Quadro T2000,528.35
Radeon RX 5600M,
Quadro P2000,542
Ryzen 7 4800HS with Radeon Graphics,
GeForce GTX 1650 (Mobile),
Radeon RX 6400,159.99
Quadro T2000 with Max-Q Design,
Quadro M5000M,546.92
Radeon Pro 5500M,
Radeon RX Vega M GH,
T600 Laptop GPU,
