,Device,Score
0,NVIDIA GeForce RTX 3090 Ti,260346
1,NVIDIA A100 80GB PCIe,259828
2,NVIDIA A100-PCIE-80GB,256292
3,GeForce RTX 3090,238123
4,NVIDIA A100-SXM4-40GB,237220
5,GeForce RTX 3080 Ti,235513
6,NVIDIA GeForce RTX 3090,235225
7,GRID A100-7-40C MIG 7g.40gb,233910
8,NVIDIA GeForce RTX 3080 Ti,233178
9,A100-SXM4-40GB,230855
10,RTX A6000,224604
11,NVIDIA RTX A6000,221395
12,GRID A100-4C,219037
13,Tesla V100S-PCIE-32GB,216224
14,A100-PCIE-40GB,215434
15,NVIDIA GeForce RTX 3080,206390
16,NVIDIA A40,205120
17,A40,204193
18,Tesla V100-SXM2-32GB,203550
19,GeForce RTX 3080,202162
20,Tesla V100-SXM2-16GB,201257
21,NVIDIA A100-PCIE-40GB,200242
22,RTX A5000,193384
23,Tesla V100-PCIE-16GB,192531
24,Tesla V100-PCIE-32GB,191375
25,NVIDIA RTX A5000,190987
26,NVIDIA A10G,187763
27,NVIDIA A10,186108
28,NVIDIA A40-8Q,183852
29,Quadro GV100,180942
30,NVIDIA TITAN V,179522
31,GRID V100D-32Q,178886
32,TITAN V,176773
33,NVIDIA GeForce RTX 2080 Ti,176681
34,Tesla V100-FHHL-16GB,174445
35,NVIDIA RTX A4500,171509
36,TITAN RTX,167076
37,NVIDIA TITAN RTX,166517
38,NVIDIA GeForce RTX 3070 Ti,165866
39,GeForce RTX 2080 Ti,165093
40,GRID V100D-16Q,163420
41,Quadro RTX 6000,159550
42,GRID RTX6000-3Q,152526
43,GeForce RTX 3070,149734
44,GRID RTX6000-6Q,149498
45,NVIDIA GeForce RTX 3080 Ti Laptop GPU,148511
46,NVIDIA GeForce RTX 3070,148340
47,Quadro RTX 8000,144049
48,NVIDIA GeForce RTX 3070 Ti Laptop GPU,141168
49,NVIDIA A30,139688
50,RTX A5000 Laptop GPU,139395
51,GeForce RTX 3080 Laptop GPU,138398
52,NVIDIA GeForce RTX 3080 Laptop GPU,137987
53,GRID RTX6000-2Q,137891
54,GRID RTX6000-8Q,134624
55,GRID RTX6000-4Q,132933
56,GeForce RTX 3060 Ti,128321
57,NVIDIA RTX A5000 Laptop GPU,127880
58,NVIDIA GeForce RTX 3060 Ti,126847
59,NVIDIA GeForce RTX 2080 SUPER,126130
60,GeForce RTX 2080 SUPER,126056
61,GRID RTX8000P-6Q,125055
62,NVIDIA RTX A4000,124547
63,RTX A4000,123839
64,NVIDIA GeForce RTX 3070 Laptop GPU,122041
65,NVIDIA GeForce RTX 2080,120612
66,NVIDIA Quadro RTX 8000,119714
67,GeForce RTX 3070 Laptop GPU,119627
68,GeForce RTX 2080,119410
69,Graphics Device,118931
70,NVIDIA RTX A4000 Laptop GPU,118896
71,NVIDIA Quadro RTX 5000,117173
72,RTX A4000 Laptop GPU,113500
73,NVIDIA GeForce RTX 2070 SUPER,108083
74,GeForce RTX 2070 SUPER,107983
75,NVIDIA GeForce RTX 2080 Super with Max-Q Design,104422
76,NVIDIA GeForce RTX 2080 with Max-Q Design,104025
77,GeForce RTX 2080 with Max-Q Design,102896
78,GeForce RTX 2080 Super with Max-Q Design,102038
79,NVIDIA GeForce RTX 3060,99213
80,NVIDIA Quadro RTX 5000 with Max-Q Design,99084
81,GeForce RTX 3060,98715
82,NVIDIA GeForce RTX 3060 Laptop GPU,98709
83,Quadro RTX 5000 with Max-Q Design,97310
84,Quadro RTX 5000,96650
85,GeForce RTX 3060 Laptop GPU,96424
86,NVIDIA GeForce RTX 2070,96024
87,GeForce RTX 2070,95666
88,A40-12Q,95329
89,GeForce RTX 2060 SUPER,95114
90,NVIDIA GeForce RTX 2060 SUPER,94330
91,Quadro RTX 4000,94250
92,Quadro GP100,92763
93,NVIDIA RTX A3000 Laptop GPU,90882
94,RTX A3000 Laptop GPU,90533
95,NVIDIA GeForce RTX 2070 Super with Max-Q Design,89663
96,NVIDIA Quadro RTX 4000,87161
97,NVIDIA GeForce RTX 2070 with Max-Q Design,86778
98,GeForce RTX 2070 with Max-Q Design,84449
99,GRID A100-2-10C MIG 2g.10gb,84208
100,Tesla P100-PCIE-16GB,84011
101,NVIDIA RTX A2000,84002
102,NVIDIA RTX A2000 12GB,83470
103,GeForce RTX 2070 Super with Max-Q Design,80580
104,Tesla P100-PCIE-12GB,80217
105,Tesla T4,78434
106,NVIDIA GeForce RTX 2060,78091
107,GeForce RTX 2060,77840
108,GRID T4-2Q,77714
109,NVIDIA GeForce RTX 3050,72998
110,NVIDIA Tesla T4,70627
111,GRID T4-16Q,70576
112,Quadro RTX 3000,70456
113,Tesla P100-SXM2-16GB,69446
114,GeForce RTX 2060 with Max-Q Design,67657
115,NVIDIA GeForce RTX 2060 with Max-Q Design,67588
116,Quadro RTX 4000 with Max-Q Design,67141
117,NVIDIA GeForce RTX 3050 Ti Laptop GPU,66487
118,NVIDIA GeForce GTX 1660 Ti,66368
119,GeForce GTX 1660 Ti,65308
120,NVIDIA GeForce GTX 1660 SUPER,65154
121,GeForce GTX 1660 SUPER,65044
122,Quadro RTX 3000 with Max-Q Design,64172
123,GeForce RTX 3050 Ti Laptop GPU,62628
124,NVIDIA GeForce GTX 1660 Ti with Max-Q Design,61528
125,NVIDIA RTX A2000 Laptop GPU,61347
126,GeForce GTX 1660 Ti with Max-Q Design,60838
127,NVIDIA GeForce GTX 1660,60503
128,GeForce GTX 1660,60172
129,GRID T4-4Q,59903
130,NVIDIA TITAN Xp COLLECTORS EDITION,59596
131,GeForce RTX 3050 Laptop GPU,58544
132,NVIDIA GeForce RTX 3050 Laptop GPU,58518
133,NVIDIA TITAN Xp,58384
134,RTX A2000 Laptop GPU,58328
135,TITAN Xp,57897
136,NVIDIA GeForce GTX 1650 SUPER,57126
137,GeForce GTX 1650 SUPER,56481
138,NVIDIA TITAN X (Pascal),56205
139,NVIDIA GeForce GTX 1080 Ti,55628
140,GeForce GTX 1080 Ti,55161
141,TITAN X (Pascal),54087
142,GRID T4-8Q,52866
143,GeForce GTX 1080,51531
144,NVIDIA GeForce GTX 1080,51030
145,NVIDIA GeForce GTX 1070 Ti,50088
146,GeForce GTX 1070 Ti,49727
147,NVIDIA GeForce GTX 1650 Ti,48337
148,Tesla P40,47664
149,Quadro P6000,47462
150,GeForce GTX 1080 with Max-Q Design,46955
151,Quadro P5200 with Max-Q Design,46329
152,Quadro P5200,45689
153,NVIDIA GeForce GTX 1070,45558
154,GeForce GTX 1070,45301
155,Quadro P5000,45153
156,GeForce GTX 1650 Ti,44348
157,NVIDIA GeForce GTX 1080 with Max-Q Design,44255
158,T1200 Laptop GPU,43441
159,NVIDIA T1200 Laptop GPU,43342
160,Quadro T2000 with Max-Q Design,41307
161,GRID A100-1-5C MIG 1g.5gb,41284
162,GRID P40-2Q,41169
163,GeForce GTX 1650 Ti with Max-Q Design,41158
164,Quadro T2000,41149
165,NVIDIA GeForce GTX 1650 Ti with Max-Q Design,40355
166,NVIDIA GeForce GTX 1650,40258
167,GeForce GTX 1650,39941
168,NVIDIA Quadro P4000,39254
169,Quadro P4000,38590
170,NVIDIA T1000 8GB,38577
171,NVIDIA GeForce GTX 1070 with Max-Q Design,38193
172,NVIDIA A2,38140
173,GeForce GTX 1650 with Max-Q Design,37945
174,GeForce GTX 1070 with Max-Q Design,37934
175,NVIDIA T1000,37817
176,Quadro P4200,37676
177,NVIDIA GeForce GTX 1650 with Max-Q Design,37506
178,NVIDIA GeForce GTX 980 Ti,36268
179,NVIDIA T600 Laptop GPU,36000
180,GeForce GTX 980 Ti,35714
181,P106-100,34239
182,Quadro T1000,34236
183,NVIDIA GeForce GTX 1060 6GB,34034
184,Quadro T1000 with Max-Q Design,33978
185,NVIDIA GeForce GTX TITAN X,33701
186,GeForce GTX 1060 6GB,33538
187,GeForce GTX TITAN X,33524
188,Quadro M6000,32385
189,Quadro M6000 24GB,32156
190,NVIDIA GeForce GTX 1060 3GB,31922
191,GeForce GTX 1060 3GB,31768
192,Quadro P3200 with Max-Q Design,31592
193,Tesla P4,31513
194,NVIDIA Tesla M40,31401
195,GeForce GTX 1060,31129
196,Tesla M40 24GB,31126
197,T500,30990
198,Tesla M40,30703
199,NVIDIA GeForce GTX 1060,30585
200,NVIDIA Quadro P2200,30389
201,GeForce GTX 1060 5GB,30206
202,Quadro P2200,29989
203,GeForce MX450,29969
204,NVIDIA GeForce GTX 980,29848
205,GeForce GTX 980,29546
206,NVIDIA GeForce GTX 1060 5GB,28858
207,NVIDIA GeForce MX450,28725
208,NVIDIA GeForce GTX 1060 with Max-Q Design,28312
209,T600,28084
210,Quadro P3200,27741
211,GeForce GTX 1060 with Max-Q Design,27623
212,NVIDIA T500,27144
213,NVIDIA T600,26600
214,NVIDIA GeForce GTX 970,25908
215,GeForce GTX 970,25897
216,Tesla M60,25404
217,Quadro M5000,24565
218,Quadro P3000,22837
219,Quadro P2000,21668
220,NVIDIA GeForce GTX 980M,21520
221,GeForce GTX 980M,21471
222,NVIDIA Quadro P2000,21174
223,GeForce GTX 780 Ti,20877
224,P106-090,20839
225,NVIDIA GeForce GTX 780 Ti,20818
226,GeForce GTX 1050 Ti,20616
227,NVIDIA GeForce GTX 1050 Ti,20406
228,GeForce GTX TITAN Black,20282
229,Quadro M5000M,20269
230,GeForce GTX 1050 Ti with Max-Q Design,18936
231,NVIDIA GeForce GTX 1050 Ti with Max-Q Design,18674
232,GeForce GTX TITAN Z,18422
233,NVIDIA GeForce GTX 970M,18285
234,Quadro P2000 with Max-Q Design,18218
235,GeForce GTX 780,18049
236,NVIDIA GeForce GTX TITAN,17933
237,GeForce GTX 960,17784
238,GeForce GTX TITAN,17711
239,NVIDIA GeForce GTX 960,17693
240,Quadro K6000,17571
241,NVIDIA GeForce GTX 1050,17206
242,GeForce GTX 970M,17191
243,NVIDIA GeForce GTX 780,17078
244,GeForce GTX 1050,16976
245,NVIDIA T400,16856
246,Quadro M4000,16648
247,NVIDIA T400 4GB,16323
248,T400,16307
249,NVIDIA Tesla K80,16063
250,NVIDIA GeForce GTX 950,15998
251,GeForce GTX 950,15806
252,Quadro M3000M,15678
253,GeForce GTX 1050 with Max-Q Design,15058
254,Tesla K80,14679
255,NVIDIA GeForce GTX 1050 with Max-Q Design,14577
256,Tesla K40c,14510
257,Quadro P1000,14286
258,NVIDIA Tesla K40m,14135
259,Tesla K40m,14115
260,GeForce GTX 965M,13861
261,NVIDIA GeForce GTX 770,13824
262,GeForce GTX 770,13785
263,Quadro K5200,13735
264,NVIDIA GeForce GTX 965M,13714
265,NVIDIA GeForce GTX 680,13627
266,GeForce GTX 680,13248
267,Quadro M2000,13100
268,Quadro M2200,12812
269,Tesla K20Xm,12681
270,GeForce MX350,12572
271,NVIDIA GeForce GTX 690,12549
272,NVIDIA GeForce GTX 750 Ti,12510
273,GeForce GTX 750 Ti,12499
274,GeForce GTX 690,12263
275,NVIDIA GeForce MX350,12232
276,Tesla M10,12054
277,Tesla K20m,12019
278,NVIDIA GeForce GTX 670,11969
279,Tesla K20c,11850
280,GeForce GTX 960M,11818
281,Quadro P620,11727
282,NVIDIA Tesla M10,11721
283,GeForce GTX 670,11611
284,NVIDIA Quadro K2200,11549
285,NVIDIA GeForce GTX 960M,11507
286,Quadro K2200,11410
287,GeForce GTX 680MX,11307
288,NVIDIA GeForce GTX 660 Ti,11298
289,GeForce GTX 660 Ti,11274
290,GeForce GTX 860M,11144
291,NVIDIA Quadro M2000M,11041
292,NVIDIA GeForce GTX 860M,10778
293,GeForce GTX 760,10683
294,Quadro P600,10634
295,NVIDIA GeForce GTX 760,10624
296,NVIDIA GeForce GTX 750,10510
297,GeForce GTX 750,10448
298,Quadro M2000M,10438
299,GeForce GT 1030,10307
300,Quadro M1200,10296
301,NVIDIA GeForce GT 1030,10287
302,GeForce GTX 880M,10249
303,GRID M10-8Q,10107
304,NVIDIA Quadro P620,9995
305,GeForce MX330,9906
306,GeForce MX150,9799
307,GeForce GTX 950M,9777
308,GeForce MX250,9734
309,NVIDIA GeForce MX250,9707
310,NVIDIA GeForce MX150,9551
311,NVIDIA GeForce GTX 850M,9545
312,GeForce GTX 780M,9535
313,GeForce GTX 870M,9499
314,NVIDIA GeForce GTX 950M,9463
315,NVIDIA GeForce MX330,9322
316,GeForce GTX 850M,9302
317,Quadro K1200,9073
318,NVIDIA GeForce GTX 760 (192-bit),9058
319,GeForce GTX 760 (192-bit),9027
320,NVIDIA Quadro K4200,8973
321,Quadro K4200,8946
322,NVIDIA GeForce GPU,8890
323,Quadro M620,8602
324,GeForce GTX 660,8583
325,Quadro K5000,8558
326,Quadro M1000M,8471
327,NVIDIA GeForce GTX 660,8458
328,Quadro P520,7481
329,Quadro M520,7173
330,NVIDIA GeForce MX130,7156
331,NVIDIA GeForce GTX 650 Ti BOOST,7132
332,GeForce GTX 675MX,7085
333,NVIDIA GeForce MX230,6914
334,GeForce MX130,6872
335,Quadro K4100M,6821
336,GeForce GTX 650 Ti BOOST,6809
337,Quadro K620,6653
338,NVIDIA Quadro K620,6621
339,GeForce MX230,6604
340,GeForce GTX 770M,6572
341,GeForce GPU,6529
342,NVIDIA GeForce GTX 745,6443
343,Quadro P500,6438
344,NVIDIA GeForce 940MX,6363
345,GeForce GTX 745,6310
346,GeForce 940MX,6290
347,GeForce GTX 650 Ti,6223
348,NVIDIA GeForce GTX 650 Ti,5920
349,GeForce 940M,5882
350,Quadro M500M,5713
351,NVIDIA GeForce 940M,5703
352,Quadro P400,5691
353,NVIDIA GeForce 840M,5629
354,NVIDIA GeForce 930MX,5599
355,GeForce 930MX,5566
356,GeForce 840M,5561
357,GeForce GTX 765M,5514
358,Quadro K4000,5210
359,GeForce 930M,5123
360,NVIDIA GeForce 930M,4932
361,Quadro K4000M,4650
362,GeForce MX110,4625
363,NVIDIA GeForce MX110,4483
364,GeForce 830M,4342
365,GeForce GTX 760M,4287
366,GeForce 920MX,4274
367,NVIDIA GeForce 920MX,4240
368,Quadro K3100M,4121
369,NVIDIA GeForce GTX 645,3630
370,NVIDIA GeForce GTX 650,3469
371,GeForce GTX 650,3424
372,NVIDIA GeForce GT 740,3302
373,GeForce GT 740,3273
374,GeForce GT 750M,3118
375,Quadro K2000,3055
376,Quadro K2100M,3028
377,GeForce GTX 660M,2901
378,GeForce GT 640,2853
379,GeForce GT 745M,2836
380,NVIDIA GeForce GT 640,2825
381,GeForce GT 635,2794
382,GeForce GT 740M,2783
383,GeForce 920M,2766
384,NVIDIA GeForce GT 730,2743
385,GeForce GT 730,2682
386,GeForce GT 650M,2651
387,GeForce GT 730M,2459
388,Quadro K2000M,2385
389,NVIDIA GeForce GT 630,2317
390,Quadro K1100M,2205
391,GeForce GT 640M,2200
